org_name,city,state,country,website,org_contact_email,org_contact_phone_1,org_contact_phone_2,partners,needs,notes,address,zipcode,languages_supported,services,goods,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health San Bernadino Health Clinic,San Bernadino,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(760) 956-4487,,,,,606 East Mill Street,,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health San Diego Health Clinic,San Diego,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(619) 692-8611,,,,,"4575 Mission Gorge Place, Suite A",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health San Francisco Health Clinic,San Francisco,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(415) 206-8608,,,,,"995 Potrero Ave.  Ward 80, Suite #518",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health San Jose Health Clinic,San Jose,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(408) 792-5586,,,,,"976 Lenzen Avenue, Suite #1500 Lower Level",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Modesto Health Clinic,Modesto,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(209) 558-8863,,,,,820 Scenic Drive,,,healthcare,,,,,,,,,,,,,,,,,,
State of California Refugee Programs Bureau,Sacramento,California,,https://www.cdss.ca.gov/inforesources/refugees,RPB@dss.ca.gov,(916) 654-4356,,,,,,,,"financial, legal, visa, other",,,,,,,,,,,,,,,,,,
State of Colorado Refugee Services,,Colorado,,https://www.colorado.gov/pacific/cdhs/refugee-services,,,,,,,,,english,"community, goods, jobs, visa, language, other",food,,,,,,,,,,,,,,,,,
State of Connecticut Refugee Assistance Program,,Connecticut,,https://portal.ct.gov/DSS/Economic-Security/Refugee-Assistance-Program,,,,,,,,,,"financial, medical",,,,,,,,,,,,,,,,,,
State of Delaware Refugee Cash Assistance,,Delaware,,https://www.dhss.delaware.gov/dss/refast.html,,,,,,,,,,"financial, jobs, healthcare, other",,,,,,,,,,,,,,,,,,
State of Florida Refugee Health Program,,Florida,,http://www.floridahealth.gov/programs-and-services/community-health/refugee-health/services.html,health@flheath.gov,850-245-4444,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Georgia Refugee Program,,Georgia,,"https://dfcs.georgia.gov/services/refugee-program#:~:text=In%20Georgia%2C%20the%20Department%20of%20Human%20Services%20Refugee,economic%20self-sufficiency%20of%20refugees%20after%20entrance%20to%20Georgia.",Michael.Singleton@dhs.ga.gov,(404) 290-6638,,,,,,,english,"visa, jobs, language, education, other",,,,,,,,,,,,,,,,,,
State of Georgia Refugee Health Program,,Georgia,,https://dph.georgia.gov/refugee-health-program,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Hawaii Refugee Assistance,,Hawaii,,http://humanservices.hawaii.gov/blog/refugee-assistance/,,,,,,,,,,"goods, healthcare, financial, other",food,,,,,,,,,,,,,,,,,
State of Indiana ISDH Refugee Health Program,,Indiana,,https://www.in.gov/isdh/24668.htm,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Indiana Refugee Services,,Indiana,,https://www.in.gov/fssa/dfr/5018.htm,,855-673-0193 ext. 5831,,,,,,,,"financial, healthcare, other",,,,,,,,,,,,,,,,,,
State of Iowa Refugee Services,,Iowa,,https://dhs.iowa.gov/refugee-services,,1-800-362-2780,,,,,,,english,"language, jobs, education, transportation, other",,,,,,,,,,,,,,,,,,
State of Iowa Refugee Health Services,,Iowa,,https://idph.iowa.gov/immtb/rh,,(515) 281-0433,(515) 281-7504,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
Maryland Office for Refugees and Asylees,Baltimore,Maryland,,https://dhs.maryland.gov/maryland-office-for-refugees-and-asylees/,,,,,,,311 W. Saratoga Street,21201-3521,english,"financial, jobs, healthcare, language, other",,,,,,,,,,,,,,,,,,
State of Michigan Refugee Assistance & Services,,Michigan,,"https://www.michigan.gov/mdhhs/0,5885,7-339-71547_5526-15492--,00.html",,,,,,,,,,"financial, healthcare, jobs, other",,,,,,,,,,,,,,,,,,
State of Minnesota Refugee and International Health Program,,Minnesota,,https://www.health.state.mn.us/refugee,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Minnesota Refugee Programs,,Minnesota,,https://mn.gov/dhs/people-we-serve/adults/services/refugee-assistance/,,,,,,,,,,"healthcare, goods, financial, education, jobs, legal, other",food,,,,,,,,,,,,,,,,,
State of Missouri Refugee School Impact Program,,Missouri,,https://dese.mo.gov/quality-schools/migrant-el-immigrant-refugee-education/refugee-children,Shawn.Cockrum@dese.mo.gov,573-751-8280,,,,,,,,"education, language, healthcare, other",,,,,,,,,,,,,,,,,,
State of Nebraska Refugee Resettlement Program,,Nebraska,,http://dhhs.ne.gov/Pages/Refugee-Resettlement.aspx,,,,,,,,,english,"healthcare, financial, language, other",,,,,,,,,,,,,,,,,,
New Hampshire Refugee Program,Concord,New Hampshire,,"https://www.dhhs.nh.gov/omh/refugee/index.htm#:~:text=The%20New%20Hampshire%20Refugee%20Program%20%28NHRP%29%20operates%20under,Health%20and%20Human%20Services%20Office%20of%20Refugee%20Resettlement.",,,,,,,129 Pleasant Street,3301,english,"financial, language, jobs, healthcare, education",,,,,,,,,,,,,,,,,,
New Jersey Migrant Education Program,,New Jersey,,https://www.nj.gov/education/migrant/,migranted@doe.nj.gov,,,,,,,,,education,,,,,,,,,,,,,,,,,,
State of New Mexico Refugee Resettlement Program,,New Mexico,,https://www.hsd.state.nm.us/LookingForAssistance/Refugee_Resettlement_Program.aspx,,,,,,,,,english,"financial, language, healthcare, jobs, other",,,,,,,,,,,,,,,,,,
State of New Mexico Refugee Health Program,,New Mexico,,https://www.nmhealth.org/about/phd/idb/rhp/,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of New York Refugee Services,,New York,,https://otda.ny.gov/programs/bria/programs.asp,,,,,,,,,english,"community, jobs, education language, healthcare, visa, other",,,,,,,,,,,,,,,,,,
North Dakota Refugee Resettlement Program,,North Dakota,,https://www.nd.gov/dhs/services/childfamily/refugees/,,,,,,,,,english,"financial, healthcare, language, jobs, other",,,,,,,,,,,,,,,,,,
State of Ohio Refugee Services,,Ohio,,https://jfs.ohio.gov/refugee/index.stm,,,,,,,,,english,"financial, healthcare, language, jobs, transportation, visa, other",,,,,,,,,,,,,,,,,,
State of Oklahoma Refugee Asistance,,Oklahoma,,http://www.okdhs.org/services/ref/Pages/default.aspx,,(405) 521-4391,,,,,,,,"financial, healthcare, other",,,,,,,,,,,,,,,,,,
State of Oregon Refugee Program,,Oregon,,"https://www.oregon.gov/dhs/assistance/REFUGEE/Pages/index.aspx#:~:text=Oregon.gov%20The%20U.S.%20Refugee%20Program%20Refugees%20are%20individuals,from%20large%20urban%20areas%20to%20rural%20refugee%20camps.",,,,,,,,,english,"financial, transportation, goods, healthcare, jobs, language, visa, other","food, other_household_goods",,,,,,,,,,,,,,,,,
Pennslyvania Refugee Resettlement Program,,Pennsylvania,,https://www.dhs.pa.gov/refugeesinpa/Pages/default.aspx,RA-HSRefugeeProgram@pa.gov,,,,,,,,english,"jobs, healthcare, language, visa, education, other",,,,,,,,,,,,,,,,,,
State of Pennslyvania Refugee Education Program,,Pennsylvania,,https://www.education.pa.gov/K-12/Refugee%20Education/Pages/default.aspx,,,,,,,,,english,"education, language",,,,,,,,,,,,,,,,,,
State of Rhode Island Refugee Assistance Program,,Rhode Island,,http://www.dhs.ri.gov/Programs/RefugeepageLAC.php,,,,,,,,,,"financial, goods, jobs, healthcare, other",food,,,,,,,,,,,,,,,,,
State of South Carolina Refugee Resettlement Program,,South Carolina,,https://dss.sc.gov/assistance-programs/refugee-resettlement/,,,,,,,,,,"financial, healthcare, jobs, other",,,,,,,,,,,,,,,,,,
Refugee South Dakota Medicaid,,South Dakota,,"https://dss.sd.gov/medicaid/generalinfo/medicalprograms.aspx#:~:text=The%20Refugee%20South%20Dakota%20Medicaid%20%28RMA%29%20program%20was,from%20month%20of%20entry%20into%20the%20United%20States.",,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Utah Refugee Health,,Utah,,http://health.utah.gov/epi/healthypeople/refugee/,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Vermont Refugee Health,,Vermont,,https://www.healthvermont.gov/health-professionals-systems/hospitals-health-systems/refugee-health,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
Virginia's Refugee Resettlement Program,Richmond,Virginia,,https://www.dss.virginia.gov/family/ons/,,,,,,,801 E. Main Street,23219,,"jobs , goods, healthcare, other",,food,,,,,,,,,,,,,,,,
State of Washington Office of Refugee and Immigrant Assistance,,Washington,,https://www.dshs.wa.gov/esa/office-refugee-and-immigrant-assistance,,,,,,,,,,"financial, goods, jobs, healthcare, visa, other",food,,,,,,,,,,,,,,,,,
State of Washington Refugee Health Program,,Washington,,https://www.doh.wa.gov/AboutUs/ProgramsandServices/DiseaseControlandHealthStatistics/RefugeeHealthProgram/RefugeeResettlement,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
State of Wisconsin Refugee Programs,,Wisconsin,,https://dcf.wisconsin.gov/refugee/programs,,,,,,,,,,"financial, healthcare, jobs, education, other",,,,,,,,,,,,,,,,,,
State of Wisconsin Refugee Health Program,,Wisconsin,,https://www.dhs.wisconsin.gov/international/index.htm,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,
USA Office of Refugee Resettlement,,United State of America,,https://www.acf.hhs.gov/orr/resource/the-us-refugee-resettlement-program-an-overview,,,,,,,,,english,"financial, healthcare, jobs, language, other",,,,,,,,,,,,,,,,,,
