,org_name,city,state,website,org_contact_email,org_contact_phone_1,org_contact_phone_2,services,zipcode
179,Lutheran Social Services of North Dakota,Fargo,ND,http://www.lssnd.org/,info@lssnd.org,,,,
180,Lutheran Social Services of North Dakota,Grand Forks,ND,http://www.lssnd.org/,info@lssnd.org,,,,
181,Catholic Social Services,Lincoln,NE,,mlopez@cssisus.org,,,,
182,Lutheran Refugee Services,Lincoln,NE,http://www.lfsneb.org/community/refugee.asp,vpejanovic@lfsneb.org,,,,
183,Lutheran Family Services of Nebraska,Omaha,NE,https://www.lfsneb.org/,hr@lfsneb.org,,,,
184,Lutheran Refugee Services,Omaha,NE,http://www.lfsneb.org/community/refugee.asp,joladipo@lfsneb.org,,,,
185,Refugee Empowerment Center,Omaha,NE,http://refugeeempowerment.org/,amohamed@RefugeeEmpowerment.org,,,,
186,International Institute of New Hampshire,Manchester,NH,https://iine.org/,info@iine.org,,,,
187,International Rescue Committee,Elizabeth,NJ,https://www.rescue.org/united-states/elizabeth-nj,NewJersey@rescue.org,,,,
188,Church World Service,Jersey City,NJ,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.593144-Church_World_Service_Jersey_City_Office,immigration@cwsglobal.org,,,Non-Profit approved NGO for Refugee resettlement,
189,IRP Jersey City,Jersey City,NJ,http://cwsjerseycity.org/,mjohnson@cwsglobal.org,,,,
190,Jersey City Vigil for Refugees,Jersey City,NJ,http://www.jcvigilforrefugees.org/,jcvigilforrefugees@gmail.com,,,"Provide a friendly presence, act as cultural liasons, and make a diference for human rights by aiding families who have survived the worst forms of inhumanitP",
191,Refugee Assistance Morris Partners,Morristown,NJ,http://www.rampnj.org/,info@rampnj.org,,,"RAMP is a non-profit coalition of faith-based organizations dedicated to helping families from Middle-Eastern refugee camps transition to productive lives of dignity, safety and hope in the Morris County area of New Jersey.",
192,Catholic Charities of the Archdiocese of Newark,Newark,NJ,http://www.ccannj.com/,mbiancheri@ccannj.org,,,overseeing the resettlement of 51 families starting in March,
193,Congregation Beth El,South Orange,NJ,https://www.bethelnj.org/,info@bethelnj.org,,973-763-0111,,
194,Oheb Shalom Congregation,South Orange,NJ,https://www.ohebshalom.org/,info@ohebshalom.org,,973.762.7067,,
195,Temple Sharey Tefilo-Israel,South Orange,NJ,https://www.tsti.org/,,,973-763-4116,partnering with Church World Services to resettle refugee families in the area,
196,Syria Supper Club,,NJ,https://www.signupgenius.com/go/60b084da9ab23a02-syrian,syriasupperclub@gmail.com,,,support families of refugees recently resettled in NJ,
197,Catholic Charities of Central New Mexico,Albuquerque,NM,,gannonj@ccasfnm.org (DIrector),,,,
198,Lutheran Family Services Rocky Mountains,Albuquerque,NM,http://www.lfsrm.org/,refugee@lfsrm.org,,,,
199,Catholic Charities of Southern Nevada,Las Vegas,NV,,mdevetak@catholiccharities.com,,,,
200,Northern Nevada International Center,Reno,NV,http://www.unr.edu/nnic,cblack@unr.edu,,,,
201,U.S. Committee for Refugees and Immigrants,Albany,NY,http://refugees.org/field-office/albany/,info@uscri-albany.org,,,,
202,Catholic Charities of Buffalo,Buffalo,NY,http://www.ccwny.org,ann.brittain@ccwny.org,,,,
203,International Institute of Buffalo,Buffalo,NY,http://www.iibuff.org/,dbeehag@iibuff.org,,,,
204,"Journey's End Refugee Services, Inc.",Buffalo,NY,http://www.jersbuffalo.org/,kscott@jersbuffalo.org,,,,
205,Jewish Family Service of Buffalo and Erie County,Buffalo,NY,https://www.jfsbuffalo.org/,info@jfsbuffalo.org,,,,
206,Catholic Charities,New York,NY,,aberisha@ccbq.org,,,,
207,Catholic Charities Community Services,New York,NY,,Kelly.Agnew-Barajas@archny.org,,,,
208,CUNY Citizenship Now!,New York,NY,http://www1.cuny.edu/sites/citizenship-now/,zachary.shultz@cuny.edu,,,"provides free, high quality, and confidential immigration law services to help individuals and families on their path to US citizenship",
209,International Rescue Committee,New York,NY,https://www.rescue.org/united-states/new-york-ny,VolunteerNY@rescue.org,,,,
210,Rutgers Presbyterian Church,New York,NY,https://www.rutgerschurch.org/,dmammen@rutgerschurch.org,,,Outreach program to assist resettlement,
211,Jewish Family Service of Buffalo and Erie County,Niagara Falls,NY,https://www.jfsbuffalo.org/,info@jfsbuffalo.org,,,,
212,Catholic Family Center,Rochester,NY,http://www.cfcrochester.org/pg/resettlement-program,lhoyt@cfcrochester.org,,,,
213,Catholic Family Center,Rochester,NY,,lhoyt@cfcrochester.org,,,,
214,Catholic Charities,Rockville Centre,NY,www.catholiccharities.cc,maquilon.carmen@catholiccharities.cc,,,,
215,Catholic Charities of Onondaga County,Syracuse,NY,,mmelara@ccoc.us,,,,
216,"InterFaith Works of Central New York, Inc.",Syracuse,NY,http://interfaithworkscny.org/blog/programs/center-for-new-americans/,osephuma@interfaithworkscny.org,,,,
217,Mohawk Valley Resource Center for Refugees,Utica,NY,https://www.mvrcr.org/,dzevadr@mvrcr.org,,,,
218,International Institute of Akron,Akron,OH,http://iiakron.org/,mary.raitano@iiakron.org (Director),,,,
219,World Relief,Akron,OH,http://worldreliefakron.org/,kulmer@wr.org (Director),,,,
220,Catholic Charities Southwestern Ohio,Cincinnati,OH,http://ccswoh.org,mzarnitz@ccswoh.org,,,"Legal immigration services, case mgmt,",
221,Su Casa,Cincinnati,OH,http://www.ccswoh.org/about/locations/,,,,ESL,
222,Catholic Charities Health and Human Services,Cleveland,OH,,pgareau@clevelandcatholiccharities.org,,,,
223,Cleveland Catholic Charities,Cleveland,OH,http://www.clevelandcatholiccharities.org/ccpcm/migration.htm,txmrosko@ccdocle.org,,,,
224,U.S. Committee for Refugees and Immigrants,Cleveland,OH,http://refugees.org/field-office/cleveland/,info@uscrioh.org,,,to protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,
225,US Together,Cleveland,OH,http://ustogether.us/,htarkhanova@ustogether.us,,,,
226,Catholic Social Services of the Miami Valley,Dayton,OH,,murphym@cssmv.org,,,,
227,US Together,Toledo,OH,http://ustogether.us/,cdehabey@ustogether.us,,,,
228,Catholic Charities,Oklahoma City,OK,,jlewis@ccaokc.org,,,,
229,Catholic Charities,Tulsa,OK,,aknecht@catholiccharitiestulsa.org,,,,
230,Catholic Charities,Portland,OR,,tsoneoulay@catholiccharitiesoregon.org,,,,
231,Immigrant and Refugee Community Organization,Portland,OR,https://www.irco.org/,info@irco.org,,,,
232,Lutheran Community Services Northwest,Portland,OR,http://www.lcsnw.org/,,,(503) 231-7480,,
233,Sponsors Organized to Assist Refugees (SOAR),Portland,OR,http://www.emoregon.org/soar.php,vvila@emoregon.org,,,,
234,Catholic Charities,Erie,PA,,jhaas@cccas.org,,,,
235,U.S. Committee for Refugees and Immigrants,Erie,PA,http://refugees.org/field-office/erie/,info@uscri-erie.org,,,to protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,
236,Catholic Charities of Harrisburg,Harrisburg,PA,,ahabeeb@cchbg.org,,,,
237,Church World Service IRP,Lancaster,PA,http://www.cwsglobal.org/our-work/refugee-services/locations/lancaster.html,smastropietro@cwsglobal.org,,,,
238,HIAS Pennsylvania,Philadelphia,PA,http://hiaspa.org/,cmillerwilson@hiaspa.org,,,,
239,Nationalities Service Center,Philadelphia,PA,https://nscphila.org/,dbossert@nscphila.org,,,,
240,Greater Pittsburgh Literacy Council,Pittsburgh,PA,https://www.gplc.org/,info@gplc.org,,,ESL Classes,
241,Jewish Family and Children's Services of Pittsburgh,Pittsburgh,PA,http://www.jfcspgh.org/immigrants--refugees/refugee-resettlement.aspx,laizenman@jfcspgh.org,,,"Reception and Placement, Housing, Job Placement",
242,Northern Area Companies,Pittsburgh,PA,http://www.northernareacompanies.com/,,,412-781-1176,,
243,Northern Area Multi Service Center's Community Assistance and Refugee Resettlement,Pittsburgh,PA,http://buildingindependence.org/nams/community-assistance-and-refugee-resettlement/,,,,"Reception and Placement, Housing, Job Placement",
244,Catholic Charities of Pittsburgh,Pittsburgh,PA,www.ccpgh.org,cniebel@ccpgh.org,,,,
245,Catholic Social Services,Scranton,PA,,jjeffers@cssscranton.org,,,,
246,Catholic Social Service of Rhode Island,Providence,RI,,scarrera@dioceseofprovidence.org,,,,
247,Dorcas International Institute of Rhode Island,Providence,RI,http://www.diiri.org/,volunteers@diiri.org,,,,
248,Lutheran Services Carolinas,Columbia,SC,http://www.lscarolinas.net/,,,803.750.9917,,
249,World Relief,Spartanburg,SC,http://worldreliefspartanburg.org/,kdodson@wr.org,,864-729-8655,,
