Timestamp,Name of refugee or immigrant assistance agency,City,State,Country,Website,Contact Information (Email),Contact Information (Phone Number),Contact Information (Phone Number),Partners or Collaborating Organizations,Core Program Offerings,What are the current needs for volunteers or other?,Additional comments?,Who are you? (Ok to leave blank),Your email address
2/10/17 13:00,"Bridge Refugee Services, Inc.",Knoxville,TN,,http://www.bridgerefugees.org/,dmugorewera@bridgerefugees.org,,,Church World Service,,,,,
2/10/17 13:00,Caritas of Austin,Austin,TX,,,awinchester@caritasofaustin.org,,,United States Conference of Catholic Bishops,,,,,
2/10/17 13:00,Alliance for Multicultural Community Services,Houston,TX,,http://www.allianceontheweb.org/,info@allianceontheweb.org,,,Ethiopian Community Development Council,,,,,
2/14/17 13:00,"Acculturation for Justice, Access and Peace Outreach (AJAPO)",Pittsburgh,PA,,http://www.ajapopittsburgh.org/,info@ajapopittsburgh.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Catholic Social Services,Anchorage,AK,,www.cssalaska.org/,jkovarik@cssalaska.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Social Services,Mobile,AL,,,mksullivan@mobarch.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities of Arkansas,Little Rock,AR,,,pgallaher@dolr.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities Immigration Services,Springdale,AR,,https://catholiccharitiesusa.org/efforts/immigration-refugee-services,cisnw@sbcglobal.net,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities Community Services,Phoenix,AZ,,,jemorales@cc-az.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Phoenix,AZ,,https://www.rescue.org/united-states/phoenix-az,VolunteerPHX@Rescue.org,,,,,,,,
2/15/17 13:00,Refugee Focus,Phoenix,AZ,,http://www.refugeefocus.org/,hello@refugeefocus.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,Refugee Focus,Phoenix,AZ,,www.refugeefocus.org,dsubotic@refugeefocus.org (Director),,,Church World Service,,,,,
2/15/17 13:00,Catholic Social Services,Tucson,AZ,,,margaretp@ccs-soaz.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Tucson,AZ,,https://www.rescue.org/united-states/tucson-az,VolunteerTucson@Rescue.org,,,,,,,,
2/15/17 13:00,Refugee Focus,Tucson,AZ,,http://www.refugeefocus.org/,hello@refugeefocus.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,East African Community of Orange County,Anaheim,CA,,,eastafrican@msn.com,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Jewish Family and Children's Services of the East Bay,Berkeley,CA,,http://jfcs-eastbay.org/refugee-resettlement/,awrose@jfcs-eastbay.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,World Relief,Garden Grove,CA,,http://worldreliefgardengrove.org/,gpeterson@wr.org,,,,,,,,
2/15/17 13:00,Catholic Charities of Los Angeles,Los Angeles,CA,,,stompkins@ccharities.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Episcopal Diocese of Los Angeles Interfaith Refugee & Immigration Service,Los Angeles,CA,,http://iris-la.org/,mtaylor@ladiocese.org,,,Church World Service,,,,,
2/15/17 13:00,Interfaith Refugee & Immigration Services,Los Angeles,CA,,http://iris.ladiocese.org/,iris@ladiocese.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,International Institute of Los Angeles,Los Angeles,CA,,http://www.iilosangeles.org/,stevholt@verizon.net,,(323) 224-3800,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,International Rescue Committee,Los Angeles,CA,,https://www.rescue.org/united-states/los-angeles-ca,rameena.rahman@rescue.org,,,,,,,,
2/15/17 13:00,Jewish Family Services of Los Angeles,Los Angeles,CA,,https://www.jfsla.org/,communications@Jfsla.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Jewish Family Services of Silicon Valley,Los Gatos,CA,,http://www.jfssv.org/,mindyb@jfssv.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,World Relief,Modesto,CA,,http://worldreliefmodesto.org/,laderholt@wr.org,,,,,,,,
2/15/17 13:00,Catholic Charities of East Bay,Oakland,CA,,www.cceb.org,elang@cceb.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Oakland,CA,,https://www.rescue.org/united-states/oakland-ca,Kristen.Borash@rescue.org,,,,,,,,
2/15/17 13:00,Sacramento Food Bank & Family Services,Sacramento,CA,,www.sacramentofoodbank.org,resettlement@sacramentofoodbank.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,World Relief,Sacramento,CA,,http://worldreliefsacramento.org/,rrudeychuk@wr.org,,,,,,,,
2/15/17 13:00,International Rescue Committee,Sacramento,CA,,https://www.rescue.org/united-states/sacramento-ca,NorthernCalifornia@Rescue.org,,,,,,,,
2/15/17 13:00,"Opening Doors, Inc",Sacramento,CA,,http://www.openingdoorsinc.com/,azra@openingdoorsinc.org,,,Church World Service,,,,,
2/15/17 13:00,Catholic Charities San Bernadino/Riverside,San Bernadino,CA,,,mluu@ccsbriv.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,San Diego,CA,,https://www.rescue.org/united-states/san-diego-ca,Volunteersd@Rescue.org,,,,,,,,
2/15/17 13:00,Jewish Family Services of San Diego,San Diego,CA,,http://www.jfssd.org/site/PageServer?pagename=programs_refugee_main,michaelh@jfssd.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Catholic Charities of Santa Clara County,San Jose,CA,,www.ccsj.org,gkepferle@ccsj.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,San Jose,CA,,https://www.rescue.org/united-states/san-jose-ca,NorthernCalifornia@Rescue.org,,,,,,,,
2/15/17 13:00,International Rescue Committee,Turlock,CA,,https://www.rescue.org/united-states/turlock-ca,Kevin.Brooks@Rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Family Services Rocky Mountains,Colorado Springs,CO,,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,African Community Center,Denver,CO,,http://www.acc-den.org/,N/A,,303-399-4500,Ethiopian Community Development Council,"Resettlement services, job skills class, We Made This- refugee women create and sell craft items",,,,
2/15/17 13:00,Emily Griffith Technical College- Colorado Refugee ESL,Denver,CO,,http://www.emilygriffith.edu/colorado-refugee-english-school,N/A,,(720) 423-4700,,"Free English classes of various levels for refugees, job training, conversation classes, computer classes",,,,
2/15/17 13:00,International Rescue Committee,Denver,CO,,https://www.rescue.org/united-states/denver-co,Victoria.Francis@Rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Family Services Rocky Mountains,Denver,CO,,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,Lutheran Family Services Rocky Mountains,Greeley,CO,,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,International Institute of Connecticut,Bridgeport,CT,,https://iiconn.org/,N/A,,(203) 336-0141,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Charities,Hartford,CT,,,kmay-bailey@ccaoh.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Integrated Refugee & Immigrant Services,New Haven,CT,,http://www.irisct.org/,cgeorge@irisct.org,,,Church World Service,,,,,
2/15/17 13:00,Integrated Refugee & Immigrant Services (IRIS),New Haven,CT,,http://www.irisct.org/,cgeorge@irisct.org,,,Episcopal Migration Ministries,,,,,
2/15/17 13:00,Refugee Alliance Network,Washington,DC,,http://www.refugeealliances.org/,allrefugeenet@gmail.com,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,U.S. Committee for Refugees and Immigrants,Washington (Headquarters),DC,,http://refugees.org/,uscri@uscridc.org,,,,to protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,,,,
2/15/17 13:00,Catholic Charities,Wilmington,DE,,www.cdow.org/charities.html,sbrathwaite@ccwilm.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Jewish Family Services of Delaware,Wilmington,DE,,https://www.jfsdelaware.org/,bsilverman@jfsdelaware.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,"Coptic Orthodox Charities, Inc.",Clearwater,FL,,http://www.copticcharities.com/,Coptorth@yahoo.com,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Gulf Coast Jewish Family and Community Services,Clearwater,FL,,https://gulfcoastjewishfamilyandcommunityservices.org/refugee/,N/A,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,"Catholic Charities of Jacksonville, Florida",Jacksonville,FL,,http://www.ccbjax.org/,smale@ccbjax.org,,,Parishes Organized to Welcome Refugees (POWR),,,,,
2/15/17 13:00,Lutheran Social Services of NE Florida,Jacksonville,FL,,http://lssjax.org/,contact@lssjax.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,World Relief,Jacksonville,FL,,http://worldreliefjacksonville.org/,mclowe@wr.org,,,,,,,,
2/15/17 13:00,Catholic Charities,Miami,FL,,,rturcotte@ccadm.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Episcopal Migration Ministries,Miami,FL,,http://www.episcopalmigrationministries.org/how_you_can_help/volunteer.aspx,cmichel@episcopalchurch.org,,,Episcopal Migration Ministries,,,,,
2/15/17 13:00,International Rescue Committee,Miami,FL,,https://www.rescue.org/united-states/miami-fl,VolunteerMiami@rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Services Florida,Miami,FL,,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,World Relief,Miami,FL,,http://miami.worldrelief.org/,worldrelief@wr.org,,305-541-8320,,,,,,
2/15/17 13:00,"Youth Co-Op, Inc.",Miami,FL,,http://www.ycoop.org/en/,refugee@ycoopmail.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Charities of Central Florida,Orlando,FL,,www.cirsorl.org/refugee.htm,carolina.toro@cflcc.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Lutheran Services Florida,Orlando,FL,,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Catholic Charities,Palm Beach,FL,,,sgomez@diocesepb.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,"Youth Co-Op, Inc.",Palm Springs,FL,,http://www.ycoop.org/en/,refugee@ycoopmail.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Charities of NW Florida,Pensacola,FL,,www.ccnwfl.org,devitoj@cc.ptdiocese.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities Bureau,Saint Augestine,FL,,,mkarolak@ccbjax.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities,Saint Petersburg,FL,,,mdufva@ccdosp.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Tallahassee,FL,,https://www.rescue.org/united-states/tallahassee-fl,oasis.pena@rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Services Florida,Tampa,FL,,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Catholic Charities,Venice,FL,,,yk@catholiccharitiesrs.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities of Atlanta,Atlanta,GA,,,fmcbrayer@catholiccharitiesatlanta.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Atlanta,GA,,https://www.rescue.org/united-states/atlanta-ga,VolunteerATL@Rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Services of Georgia,Atlanta,GA,,https://www.lsga.org/,lsg@lsga.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,New American Pathways,Atlanta,GA,,http://newamericanpathways.org/,p.mixon@newamericanpathways.org,,,"Church World Service, Episcopal Migration Ministries",,,,,
2/15/17 13:00,World Relief,Atlanta,GA,,http://worldreliefatlanta.org/,Jarnold@worldrelief.org,,,,,,,,
2/15/17 13:00,Lutheran Services of Georgia,Savannah,GA,,https://www.lsga.org/,lsg@lsga.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Pacific Gateway Center,Honolulu,HI,,http://www.pacificgateway.org/,pgc.soon@yahoo.com,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Charities,Cedar Rapids,IA,,,t.morrison@dbqarch.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities,Des Moines,IA,,,rkinker@catholiccharitiesdm.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,U.S. Committee for Refugees and Immigrants,Des Moines,IA,,http://refugees.org/field-office/des-moines/,info@uscri-desmoines.org,,,,To protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,,,,
2/15/17 13:00,International Rescue Committee,Boise,ID,,https://www.rescue.org/united-states/boise-id,VolunteerBoise@Rescue.org,,,,,,,,
2/15/17 13:00,World Relief,Boise,ID,,http://worldreliefboise.org/,worldrelief@wr.org,,(208) 323-4964,,,,,,
2/15/17 13:00,College of Southern Idaho Refugee Programs,Twin Falls,ID,,http://refugeecenter.csi.edu/,zrwasama@refugeecenter.csi.edu,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,World Relief,Aurora,IL,,http://worldreliefdupageaurora.org/,worldrelief@wr.org,,(630) 264-3171,,,,,,
2/15/17 13:00,Catholic Charities,Chicago,IL,,,EKulovic@catholiccharities.net,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Ethiopian Community Association of Chicago,Chicago,IL,,http://www.ecachicago.org/home0.aspx,aadeye@ecachicago.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Heartland Alliance for Human Needs and Human Rights,Chicago,IL,,https://www.heartlandalliance.org/,rics@heartlandalliance.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Jewish Child and Family Services,Chicago,IL,,http://www.jcfs.org/,ask@jcfs.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Refugee One,Chicago,IL,,http://www.refugeeone.org/,info@refugeeone.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,RefugeeOne,Chicago,IL,,http://www.refugeeone.org/,mkano@refugeeone.org,,,Church World Service,,,,,
2/15/17 13:00,World Relief,Chicago,IL,,http://worldreliefchicago.org/,chicago@wr.org,,,,,,,,
2/15/17 13:00,World Relief,Moline,IL,,http://worldreliefmoline.org/,arowell@wr.org,,,,,,,,
2/15/17 13:00,Catholic Charities Immigration and Refugee Services,Rockford,IL,,www.ccrfd.org,jbiljeskovic@rockforddiocese.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities of Fort Wayne-South Bend,Fort Wayne-South Bend,IN,,,nchan@ccfwsb.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities Indianapolis,Indianapolis,IN,,,dbethuram@archindy.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,"Exodus Refugee/Immigration, Inc.",Indianapolis,IN,,http://www.exodusrefugee.org/,cvarga@exodusrefugee.org,,,"Church World Service, Episcopal Migration Ministries",,,,,
2/15/17 13:00,International Rescue Committee,Garden City,KS,,https://www.rescue.org/united-states/garden-city-ks,Holly.Perdue@Rescue.org,,,,,,,,
2/15/17 13:00,Catholic Charities of Northeast Kansas,Kansas City,KS,,,rpollock@catholiccharitiesks.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Mission Adelante,Kansas City,KS,,http://www.missionadelante.org,info@missionadelante.or,,,,,,,,
2/15/17 13:00,Episcopal Wichita Area Refugee Ministry,Wichita,KS,,http://www.episcopalmigrationministries.org/where_we_work/wichita.aspx,emm@episcopalchurch.org,,,Episcopal Migration Ministries,,,,,
2/15/17 13:00,International Rescue Committee,Wichita,KS,,https://www.rescue.org/united-states/wichita-ks,VolunteerKS@Rescue.org,,,,,,,,
2/15/17 13:00,Western Kentucky Refugee Mutual Assistance,Bowling Green,KY,,http://icofky.org/,icofky@outlook.com,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,"Kentucky Refugee Ministrics, Inc.",Lexington,KY,,http://www.kyrm.org/,mcobb@krmlex.org,,,"Church World Service, Episcopal Migration Ministries",,,,,
2/15/17 13:00,Catholic Charities,Louisville,KY,,,ctriplett@archlou.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,"Kentucky Refugee Ministrics, Inc.",Louisville,KY,,http://www.kyrm.org/,jkoehl@kyrm.org,,,"Church World Service, Episcopal Migration Ministries",,,,,
2/15/17 13:00,Western Kentucky Refugee Mutual Assistance,Owensboro,KY,,http://icofky.org/,icofky@outlook.com,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Charities,Baton Rouge,LA,,,jdresley@ccdiobr.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Diocese of Lafayette,Lafayette,LA,,,tquesada@diolaf.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities,New Orleans,LA,,,jward@ccano.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities,Boston,MA,,,marjean_perhot@ccab.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Institute of Boston,Boston,MA,,https://iine.org/,info@iine.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Refugee and Immigrant Assistance Center,Boston,MA,,http://www.riacboston.org/,riac@riacboston.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Jewish Family Service of Metrowest,Framingham,MA,,http://www.jfsmw.org/,N/A,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,International Institute of Lowell,Lowell,MA,,https://iine.org/,info@iine.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Jewish Family Service of Western Massachusetts,Pittsfield,MA,,http://www.jfswm.org/healing-world/refugee-services,info@jfswm.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Jewish Family Service of Western Massachusetts,Springfield,MA,,http://www.jfswm.org/healing-world/refugee-services,info@jfswm.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Catholic Charities,Worcester,MA,,,tmcmahon@ccworc.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Refugee and Immigrant Assistance Center,Worcester,MA,,http://www.riacboston.org/,riac@riacboston.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,World Relief,Anne Arundel,MD,,http://worldreliefannearundel.org/,mshinn@wr.org,,,,,,,,
2/15/17 13:00,International Rescue Committee,Baltimore,MD,,https://www.rescue.org/united-states/baltimore-md,Baltimore@Rescue.org,,,,,,,,
2/15/17 13:00,World Relief,Baltimore,MD,,https://www.worldrelief.net/BaltimoreClinic,Proby@wr.org,,,,,,,,
2/15/17 13:00,Lutheran Immigration and Refugee Service,Baltimore (Headquarters); Affiliates listed separately,MD,,http://lirs.org/,lirs@lirs.org,,,,"resettlement, advocacy and connecting employers with refugees and migrants",,,,
2/15/17 13:00,International Rescue Committee,Silver Spring,MD,,https://www.rescue.org/united-states/silver-spring-md,Mark.Youmans@rescue.org,,,,,,,,
2/15/17 13:00,Lutheran Social Services of the National Capital Area,Silver Spring,MD,,http://lssnca.org/,SyM@lssnca.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Catholic Charities Maine,Portland,ME,,,tahmadov@ccmaine.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Jewish Family Service of Washtenaw County,Ann Arbor,MI,,https://jfsannarbor.org/programs-services/international-services/resettlement/,info@jfsannarbor.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/15/17 13:00,Samaritas,Battle Creek,MI,,https://www.samaritas.org/,info@samaritas.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Catholic Charities of South East Michigan,Detroit,MI,,,bartekd@ccsem.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,U.S. Committee for Refugees and Immigrants,Detroit,MI,,http://refugees.org/field-office/detroit/,info@uscri-detroit.org,,,,,,,,
2/15/17 13:00,Samaritas,Grand Rapids,MI,,https://www.samaritas.org/,info@samaritas.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,St. Vincent Catholic Charities Refugee Services,Lansing,MI,,,harrisj@stvcc.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Samaritas,Troy,MI,,https://www.samaritas.org/,info@samaritas.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/15/17 13:00,Lutheran Social Service of Minnesota,Minneapolis,MN,,http://www.lssmn.org/,volunteers@lssmn.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Minnesota Council of Churches,Minneapolis,MN,,http://www.mnchurches.org/refugeeservices/,ben.walen@mnchurches.org,,,"Church World Service, Episcopal Migration Ministries",,,,,
2/15/17 13:00,Catholic Charities,Saint Paul,MN,,www.ccspm.org,Katy.Radloff@cctwincities.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Institute of Minnesota,St Paul,MN,,http://iimn.org/,MSchuneman@iimn.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Lutheran Social Service of Minnesota,St. Cloud,MN,,http://www.lssmn.org/,volunteers@lssmn.org,,,Lutheran Immigration and Refugee Service,,,,,
2/15/17 13:00,Catholic Charities,Winona,MN,,,khammell@ccwinona.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities of Central and Northern Missouri,Columbia,MO,,,ltran@cccnmo.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities of Central and Northern Missouri,Jefferson City,MO,,,dlester@cccnmo.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Della Lamb Community Services,Kansas City,MO,,http://www.dellalamb.org/,jakers@dellalamb.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,Jewish Vocational Services,Kansas City,MO,,http://www.jvskc.org/,sweitkamp@jvskc.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,International Institute of St. Louis-Southwest Missouri,Springfield,MO,,http://www.iismo.org/index.html,iismo@iistl.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,International Institute of St. Louis,St. Louis,MO,,http://www.iistl.org/,tuckerk@iistl.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/15/17 13:00,Catholic Social & Community Services,Biloxi,MS,,,jwilliams@biloxidiocese.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Catholic Charities,Jackson,MS,,www.catholiccharitiesjackson.org/services/refugee.html,greg.patin@catholiccharitiesjackson.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,International Rescue Committee,Missoula,MT,,https://www.rescue.org/united-states/missoula-mt,missoula@rescue.org,,,,,,,,
2/15/17 13:00,Catholic Charities,Charlotte,NC,,,gcarter@charlottediocese.org,,,United States Conference of Catholic Bishops,,,,,
2/15/17 13:00,Church World Service IRP,Durham,NC,,http://www.cwsrdu.org/,eandrews@cwsglobal.org,,,Church World Service,,,,,
2/15/17 13:00,World Relief,Durham,NC,,http://worldreliefdurham.org/,JBodnar@wr.org,,,,,,,,
2/15/17 13:00,Church World Service IRP,Greensboro,NC,,http://www.cwsglobal.org/what-we-do/refugees/us-offices/cws-greensboro.html,sadams@cwsglobal.org,,,Church World Service,,,,,
2/15/17 13:00,North Carolina African Services Coalition,Greensboro,NC,,http://www.ascafrica.org/,million@ascafrica.org,,,Ethiopian Community Development Council,,,,,
2/15/17 13:00,World Relief,High Point,NC,,http://worldreliefhighpoint.org/,mal-sultani@wr.org,,,,,,,,
